note_number,chapter,subject,status,source,image_url,local_path,width,height
38,Acte II,Robert Baden-Powell,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/3/3b/Robert_Baden-Powell_in_South_Africa%2C_1896_%282%29.jpg,iconographie/acte_02_note_022_robert-baden-powell.jpg,430,615
39,Acte II,Guerre des Boers,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Monument_des_heros_de_la_guerre_des_Boers_-_08.jpg/1280px-Monument_des_heros_de_la_guerre_des_Boers_-_08.jpg,iconographie/acte_02_note_023_guerre-des-boers.jpg,1280,1707
40,Acte II,Ordre royal de Victoria,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/c/cf/The_Royal_Order_of_Victoria_and_Albert_%28First_Class_Badge%29.jpg,iconographie/acte_02_note_024_ordre-royal-de-victoria.jpg,226,430
41,Acte II,Culture Yamna,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/08/Yamnaya_culture.jpg/1280px-Yamnaya_culture.jpg,iconographie/acte_02_note_025_culture-yamna.jpg,1280,693
42,Acte II,King's American Dragoons,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/3/3a/Colours_of_the_King%27s_American_Dragoons.jpg,iconographie/acte_02_note_026_king-s-american-dragoons.jpg,427,365
43,Acte II,Jean-Jacques Rousseau,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/42/Chinon_-_Rue_Jean-Jacques_Rousseau_-_1.jpg/1280px-Chinon_-_Rue_Jean-Jacques_Rousseau_-_1.jpg,iconographie/acte_02_note_027_jean-jacques-rousseau.jpg,1280,1919
44,Acte II,Montesquieu,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/f/fc/Montesquieu_1.png,iconographie/acte_02_note_028_montesquieu.jpg,1177,1447
45,Acte II,Voltaire,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Nicolas_de_Largilli%C3%A8re_-_Portrait_de_Voltaire_%281694-1778%29_en_1718_-_P208_-_Mus%C3%A9e_Carnavalet_-_2.jpg/1280px-Nicolas_de_Largilli%C3%A8re_-_Portrait_de_Voltaire_%281694-1778%29_en_1718_-_P208_-_Mus%C3%A9e_Carnavalet_-_2.jpg,iconographie/acte_02_note_029_voltaire.jpg,1280,1920
46,Acte II,Charles-Augustin Sainte-Beuve,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ce/Sainte-Beuve.jpg/1280px-Sainte-Beuve.jpg,iconographie/acte_02_note_030_charles-augustin-sainte-beuve.jpg,1280,1598
47,Acte II,Bernardin de Saint-Pierre,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/0/08/Portrait_of_Bernardin_de_Saint-Pierre_%28by_Paul_Carpentier%2C_after_Elizabeth_Harvey_-_copy_of_Versailles%29.jpg,iconographie/acte_02_note_031_bernardin-de-saint-pierre.jpg,1196,1451
48,Acte II,Nicolas-Louis de La Caille,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/8/8c/Nicolas_Louis_de_La_Caille._Line_engraving_by_Th%C3%A9r%C3%A8se_Devaux_Wellcome_L0006146.jpg,iconographie/acte_02_note_032_nicolas-louis-de-la-caille.jpg,1168,1624
49,Acte II,Collège du Mont,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Ancien_college_du_Mont-Saint-Louis_17.jpg/1280px-Ancien_college_du_Mont-Saint-Louis_17.jpg,iconographie/acte_02_note_033_college-du-mont.jpg,1280,960
50,Acte II,Sherlock Holmes,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c6/Charles_Frohman_presents_William_Gillette_in_his_new_four_act_drama%2C_Sherlock_Holmes_%28LOC_var_1364%29_%28edit%29.jpg/1280px-Charles_Frohman_presents_William_Gillette_in_his_new_four_act_drama%2C_Sherlock_Holmes_%28LOC_var_1364%29_%28edit%29.jpg,iconographie/acte_02_note_034_sherlock-holmes.jpg,1280,1753
51,Acte II,Edmund Spenser,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/6/65/Edmund_Spenser_oil_painting.JPG,iconographie/acte_02_note_035_edmund-spenser.jpg,495,586
52,Acte II,La Reine des fées,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/7/71/The_Faerie_Queene_frontispiece.jpg,iconographie/acte_02_note_036_la-reine-des-fees.jpg,567,818
53,Acte II,Super Mario Bros.,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/9/90/Super_Mario_Bros_1993_logo.webp,iconographie/acte_02_note_037_super-mario-bros.jpg,400,155
54,Acte II,The Walking Dead,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/The_Walking_Dead_Logo.png/1280px-The_Walking_Dead_Logo.png,iconographie/acte_02_note_038_the-walking-dead.jpg,1280,339
55,Acte II,Les Schtroumpfs,OK,wikimedia,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Les_Schtroumpfs_%282019%29.png/1280px-Les_Schtroumpfs_%282019%29.png,iconographie/acte_02_note_039_les-schtroumpfs.jpg,1280,346
